	"Jahr"	"Chorgruppe"	"Anzahl_gesamt"	"Maedchen"	"Jungen"
	07.01.2002	"Kinderchor"	9	8	1
	17.01.2002	"Kinderchor"	18	17	1
	"Schuljahr 2002/03"	"Vorbereitungschor"	5		
		"Kinderchor"	25	24	1
	"Schuljahr 2003/04"	"Vorbereitungschor"	5	4	1
		"Kinderchor"	29	25	4
	"Schuljahr 2004/05"	"Vorbereitungschor"			
		"Kinderchor"			
	"Schuljahr 2005/06"	"Vorbereitungschor"	10	8	2
		"Kinderchor"	40	32	8
	"Schuljahr 2006/07"	"Vorbereitungschor"	13	9	4
		"Kinderchor"	21	16	5
		"Jugendchor"	20	16	4
	"Schuljahr 2007/08"	"Vorbereitungschor"	20	17	3
		"Kinderchor"	37	30	7
		"Jugendchor"	20	13	7
	"Schuljahr 2008/09"	"Vorbereitungschor"	20	12	8
		"Nachwuchschor"	24	20	4
		"Kinderchor"	32	29	3
		"Jugendchor"	23	15	8
	"Schuljahr 2009/10"	"Vorbereitungschor I"	10		10
		"Vorbereitungschor II"	19	19	
		"Nachwuchschor"	37	30	7
		"Kinderchor"	44	38	6
		"Jugendchor"	36	22	14
	"Schuljahr 2010/11"	"Vorbereitungschor I"	12		12
		"Vorbereitungschor II"	19	19	
		"Nachwuchschor"	34	25	9
		"Kinderchor I"	25	20	5
		"Kinderchor II"	41	33	8
		"Jugendchor"	44	31	13
	"Schuljahr 2011/12"	"Vorbereitungschor I"			
		"Vorbereitungschor II"			
		"Nachwuchschor"			
		"Kinderchor"			
		"Jugendchor"	49	33	16
	"Schuljahr 2012/13"	"Vorbereitungschor I"	19		19
		"Vorbereitungschor II"	23	23	
		"Nachwuchschor I"	37	27	10
		"Nachwuchschor II"	35	23	12
		"Kinderchor I"	26	20	6
		"Kinderchor II"	51	42	9
		"Jugendchor"	46	31	15
	"Schuljahr 2013/14"	"Vorbereitungschor I"	20		20
		"Vorbereitungschor II"	28	28	
		"Nachwuchschor I"	32	19	13
		"Nachwuchschor II"	39	26	13
		"Kinderchor I"	34	26	8
		"Kinderchor II"	55	47	8
		"Jugendchor"	44	29	15
	"Schuljahr 2014/15"	"Vorbereitungschor I"	13		13
		"Vorbereitungschor II"	29	29	
		"Nachwuchschor I"	29	16	13
		"Nachwuchschor II"	41	27	14
		"Kinderchor I"	36	27	9
		"Kinderchor II"	50	43	7
		"Jugendchor"	68	46	22
	"Schuljahr 2015/16"	"Vorbereitungschor I"	14		14
		"Vorbereitungschor II"	20	20	
		"Nachwuchschor I"	36	21	15
		"Nachwuchschor II"	40	28	12
		"Kinderchor I"	31	22	9
		"Kinderchor II"	55	42	13
		"Jugendchor"	70	52	18
		"Jugendkammerchor"	8	4	4
	"Schuljahr 2016/17"	"Vorbereitungschor I & II"	46	32	14
		"Nachwuchschor I"	34	23	11
		"Nachwuchschor II"	45	28	17
		"Kinderchor I"	28	19	9
		"Kinderchor II"	52	39	13
		"Jugendchor"	65	47	18
		"Jugendkammerchor"	11	8	3
	"Schuljahr 2018/19"	"Vorbereitungschor I & II"	46	32	14
		"Nachwuchschor I"	34	23	11
		"Nachwuchschor II"	45	28	17
		"Kinderchor I"	28	19	9
		"Kinderchor II"	52	39	13
		"Jugendchor"	65	47	18
		"Jugendkammerchor"	11	8	3
	"Schuljahr 2018/19"	"Vorbereitungschor I & II"	0	0	0		
