	"Jahr"	"Chorgruppe"	"Probentag"	"Probenzeit"	"Probenort"	"Bermerkung"
	2002	"Kinderchor"	"Montag"	"15:30 - 16:30"	"EJBW"	"Gründung des Kinderchores unter dem Namen ""Weimarer Nachtigallen"" (erste Probe: 07.01.2002)"
	"Schuljahr 2002/03"	"Vorbereitungschor"	"Montag"	"15:15 - 16:00"	"EJBW"	"Gründung des Vorbereitungschores (erste Probe: 30.09.2002)"
		"Kinderchor"	"Montag"	"16:00 - 17:00"	"EJBW"	
	"Schuljahr 2003/04"	"Vorbereitungschor"	"Montag"	"15:00 - 16:00"	"EJBW"	
		"Kinderchor"	"Montag"	"16:15 - 17:30"	"EJBW"	
	"Schuljahr 2004/05"	"Vorbereitungschor"	"Montag"	"15:00 - 16:00"	"EJBW"	
		"Kinderchor"	"Montag"	"16:15 - 17:30"	"EJBW"	
	"Schuljahr 2005/06"	"Vorbereitungschor"	"Montag"	"15:00 - 16:00"	"EJBW"	
		"Kinderchor"	"Montag"	"16:30 - 18:00"	"EJBW"	
	"Schuljahr 2006/07"	"Vorbereitungschor"	"Montag"	"15:00 - 15:45"	"EJBW"	"Gründung des Jugendchores unter dem Namen ""Schola Cantorum Weimar""; erste Probe: 02.09.2006"
		"Kinderchor"	"Montag"	"16:00 - 17:30"	"EJBW"	
		"Jugendchor"	"Montag"	"16:45 - 18:30"	"EJBW"	
	"Schuljahr 2007/08"	"Vorbereitungschor"	"Freitag"	"14:30 - 15:30"	"EJBW/Mon Ami"	
		"Kinderchor"	"Mittwoch"	"16:00 - 17:30"	"Mon Ami"	
		"Jugendchor"	"Freitag"	"15:30 - 17:00"	"EJBW/Mon Ami"	
	"Schuljahr 2008/09"	"Vorbereitungschor"	"Freitag"	"14:30 - 15:30"	"Mon Ami"	"Gründung des Nachwuchschores (erste Probe: 25.09.2008); Umzug ins Mon Ami"
		"Nachwuchschor"	"Montag"	"14:30 - 15:30"	"Mon Ami"	
		"Kinderchor"	"Montag"	"15:45 - 17:15"	"Mon Ami"	
		"Jugendchor"	"Montag"	"17:30 - 19:30"	"Mon Ami"	
	"Schuljahr 2009/10"	"Vorbereitungschor I"	"Mittwoch"	"15:00 - 15:45"	"Mon Ami"	"Aufteilung des Vorbereitungschores in I (Jungen) und II (Mädchen) (erste geteilte Probe: 10.02.2010)"
		"Vorbereitungschor II"	"Mittwoch"	"16:00 - 17:00"	"Mon Ami"	
		"Nachwuchschor"	"Montag"	"14:30 - 15:30"	"Mon Ami"	
		"Kinderchor"	"Montag"	"15:45 - 17:15"	"Mon Ami"	
		"Jugendchor"	"Montag"	"17:30 - 19:30"	"Mon Ami"	
	"Schuljahr 2010/11"	"Vorbereitungschor I"	"Mittwoch"	"15:00 - 15:45"	"Mon Ami"	"Aufteilung des Kinderchores in Kinderchor I und II (erste geteilte Probe: 21.03.2011)"
		"Vorbereitungschor II"	"Mittwoch"	"16:00 - 17:00"	"Mon Ami"	
		"Nachwuchschor"	"Montag"	"14:30 - 15:30"	"Mon Ami"	
		"Kinderchor"	"Montag"	"15:45 - 17:15"	"Mon Ami"	
		"Jugendchor"	"Montag"	"17:30 - 19:30"	"Mon Ami"	
	"Schuljahr 2011/12"	"Vorbereitungschor I"	"Mittwoch"	"15:00 - 15:45"	"Mon Ami"	
		"Vorbereitungschor II"	"Mittwoch"	"16:00 - 17:00"	"Mon Ami"	
		"Nachwuchschor"	"Montag"	"14:30 - 15:30"	"Mon Ami"	
		"Kinderchor I"	"Montag"	"15:45 - 17:15"	"Mon Ami"	
		"Kinderchor II"			"Mon Ami"	
		"Jugendchor"	"Montag"	"17:30 - 19:30"	"Mon Ami"	
	"Schuljahr 2012/13"	"Vorbereitungschor I"	"MIttwoch"	"15:00 - 15:45"	"Mon Ami"	"Aufteilung des Nachwuchschores in zwei Gruppen; Einführung von Stimmgruppenproben des Kinderchores; Einführung des Gesangsunterrichtes für Jugendchorsänger_innen (24.09.2012)"
		"Vorbereitungschor II"	"MIttwoch"	"16:00 - 16:45"	"Mon Ami"	
		"Nachwuchschor I"	"Montag"	"14:30 - 15:30"	"Mon Ami"	
		"Nachwuchschor II"	"Mittwoch"	"17:00 - 18:00"	"Mon Ami"	
		"Kinderchor I"	"Montag"	"15:45 - 17:15"	"Mon Ami"	
		"Kinderchor II"			"Mon Ami"	
		"Jugendchor"	"Montag"	"17:30 - 19:30"	"Mon Ami"	
		"Stimmgruppenproben"	"Freitag"	"16:00 - 18:00"	"Mon Ami"	
	"Schuljahr 2013/14"	"Vorbereitungschor I"	"MIttwoch"	"15:00 - 15:45"	"Mon Ami"	"Einführung von einer festen Projektchorprobenzeit am Montag"
		"Vorbereitungschor II"	"MIttwoch"	"15:45 - 16:30"	"Mon Ami"	
		"Nachwuchschor I"	"Montag"	"14:30 - 15:30"	"Mon Ami"	
		"Nachwuchschor II"	"Mittwoch"	"16:30 - 17:30"	"Mon Ami"	
		"Kinderchor I"	"Montag"	"15:45 - 17:00"	"Mon Ami"	
		"Kinderchor II"	"Montag"	"17:15 - 18:30"	"Mon Ami"	
		"Jugendchor"	"Mittwoch"	"17:30 - 19:30"	"Mon Ami"	
		"Stimmgruppenproben"	"Freitag"	"16:00 - 18:00"	"Mon Ami"	
		"Projektchor"	"Montag"	"18:30 - 19:30"	"Mon Ami"	
	"Schuljahr 2014/15"	"Vorbereitungschor I"	"MIttwoch"	"15:00 - 15:45"	"Mon Ami"	
		"Vorbereitungschor II"	"MIttwoch"	"15:45 - 16:30"	"Mon Ami"	
		"Nachwuchschor I"	"Montag"	"14:30 - 15:30"	"Mon Ami"	
		"Nachwuchschor II"	"Mittwoch"	"16:30 - 17:30"	"Mon Ami"	
		"Kinderchor I"	"Montag"	"15:45 - 17:00"	"Mon Ami"	
		"Kinderchor II"	"Montag"	"17:15 - 18:30"	"Mon Ami"	
		"Jugendchor"	"Mittwoch"	"17:30 - 19:30"	"Mon Ami"	
		"Stimmgruppenproben"	"Freitag"	"15:00 - 18:00"	"Mon Ami"	
